vin_1_10,state,city,county,ev_type,make,model,Sum of model_year
2C4RC1S73P,WA,Bellevue,King,Plug-in Hybrid Electric Vehicle (PHEV),CHRYSLER,PACIFICA,2023
2T3YL4DV8D,WA,Spokane,Spokane,Battery Electric Vehicle (BEV),TOYOTA,RAV4,2013
2T3YL4DVXC,WA,Seattle,King,Battery Electric Vehicle (BEV),TOYOTA,RAV4,2012
3C3CFFGE0G,WA,Olympia,Thurston,Battery Electric Vehicle (BEV),FIAT,500,2016
3C3CFFGE2E,WA,Shoreline,King,Battery Electric Vehicle (BEV),FIAT,500,2014
3C3CFFGE5H,WA,Seattle,King,Battery Electric Vehicle (BEV),FIAT,500,2017
3C3CFFGE6F,WA,Shoreline,King,Battery Electric Vehicle (BEV),FIAT,500,2015
3C3CFFGE8D,WA,Bellevue,King,Battery Electric Vehicle (BEV),FIAT,500,2013
3C3CFFGE9H,WA,Vancouver,Clark,Battery Electric Vehicle (BEV),FIAT,500,2017
3FA6P0PU3F,WA,Lake Forest Park,King,Plug-in Hybrid Electric Vehicle (PHEV),FORD,FUSION,2015
3FA6P0PU3J,WA,Seattle,King,Plug-in Hybrid Electric Vehicle (PHEV),FORD,FUSION,2018
3FA6P0PU4E,WA,Federal Way,King,Plug-in Hybrid Electric Vehicle (PHEV),FORD,FUSION,2014
3FA6P0PU4F,WA,Spokane,Spokane,Plug-in Hybrid Electric Vehicle (PHEV),FORD,FUSION,2015
3FA6P0PU7G,WA,Vancouver,Clark,Plug-in Hybrid Electric Vehicle (PHEV),FORD,FUSION,2016
3FA6P0PU9J,WA,Bellevue,King,Plug-in Hybrid Electric Vehicle (PHEV),FORD,FUSION,2018
3FA6P0SU1H,WA,Oak Harbor,Island,Plug-in Hybrid Electric Vehicle (PHEV),FORD,FUSION,2017
3FA6P0SU2E,WA,Battle Ground,Clark,Plug-in Hybrid Electric Vehicle (PHEV),FORD,FUSION,2014
3FA6P0SU4E,WA,Seattle,King,Plug-in Hybrid Electric Vehicle (PHEV),FORD,FUSION,2014
3FA6P0SU6G,WA,Easton,Kittitas,Plug-in Hybrid Electric Vehicle (PHEV),FORD,FUSION,2016
3FA6P0SU6K,WA,Federal Way,King,Plug-in Hybrid Electric Vehicle (PHEV),FORD,FUSION,2019
3FA6P0SU9H,WA,Lacey,Thurston,Plug-in Hybrid Electric Vehicle (PHEV),FORD,FUSION,2017
3FA6P0SUXJ,WA,College Place,Walla Walla,Plug-in Hybrid Electric Vehicle (PHEV),FORD,FUSION,2018
3FA6P0WU7L,WA,Seattle,King,Plug-in Hybrid Electric Vehicle (PHEV),FORD,FUSION,2020
3FMTK1RM9M,WA,Vancouver,Clark,Battery Electric Vehicle (BEV),FORD,MUSTANG MACH-E,2021
3FMTK1SS0P,WA,Lake Forest Park,King,Battery Electric Vehicle (BEV),FORD,MUSTANG MACH-E,2023
3FMTK2R79N,WA,Poulsbo,Kitsap,Battery Electric Vehicle (BEV),FORD,MUSTANG MACH-E,2022
3FMTK2SU0P,WA,Yakima,Yakima,Battery Electric Vehicle (BEV),FORD,MUSTANG MACH-E,2023
3FMTK2SU9P,WA,Lake Stevens,Snohomish,Battery Electric Vehicle (BEV),FORD,MUSTANG MACH-E,2023
3FMTK3SS2M,WA,Seattle,King,Battery Electric Vehicle (BEV),FORD,MUSTANG MACH-E,2021
3FMTK3SS3M,WA,Stanwood,Snohomish,Battery Electric Vehicle (BEV),FORD,MUSTANG MACH-E,2021
3FMTK3SU1N,WA,Ridgefield,Clark,Battery Electric Vehicle (BEV),FORD,MUSTANG MACH-E,2022
3FMTK3SU2P,WA,Redmond,King,Battery Electric Vehicle (BEV),FORD,MUSTANG MACH-E,2023
3FMTK3SU3M,WA,Ridgefield,Clark,Battery Electric Vehicle (BEV),FORD,MUSTANG MACH-E,2021
3FMTK3SU4M,WA,Duvall,King,Battery Electric Vehicle (BEV),FORD,MUSTANG MACH-E,2021
3FMTK3SU5N,WA,Burien,King,Battery Electric Vehicle (BEV),FORD,MUSTANG MACH-E,2022
3FMTK3SU8P,WA,Tukwila,King,Battery Electric Vehicle (BEV),FORD,MUSTANG MACH-E,2023
3FMTK3SU9M,WA,Seattle,King,Battery Electric Vehicle (BEV),FORD,MUSTANG MACH-E,2021
3FMTK3SU9P,WA,Issaquah,King,Battery Electric Vehicle (BEV),FORD,MUSTANG MACH-E,2023
3FMTK4SE3N,WA,Federal Way,King,Battery Electric Vehicle (BEV),FORD,MUSTANG MACH-E,2022
3FMTK4SE7M,WA,Snoqualmie,King,Battery Electric Vehicle (BEV),FORD,MUSTANG MACH-E,2021
3FMTK4SX1P,WA,Shoreline,King,Battery Electric Vehicle (BEV),FORD,MUSTANG MACH-E,2023
3MW5P9J00N,WA,Maple Valley,King,Plug-in Hybrid Electric Vehicle (PHEV),BMW,330E,2022
4JGDA6DB0J,WA,Lake Forest Park,King,Plug-in Hybrid Electric Vehicle (PHEV),MERCEDES-BENZ,GLE-CLASS,2018
4JGGM1CB2P,WA,Seattle,King,Battery Electric Vehicle (BEV),MERCEDES-BENZ,EQE-CLASS SUV,2023
55SWF4HB5J,WA,Bothell,Snohomish,Plug-in Hybrid Electric Vehicle (PHEV),MERCEDES-BENZ,C-CLASS,2018
5UX43EU01R,WA,Olympia,Thurston,Plug-in Hybrid Electric Vehicle (PHEV),BMW,X5,2024
5UX43EU02R,WA,Bellevue,King,Plug-in Hybrid Electric Vehicle (PHEV),BMW,X5,2024
5UX43EU03R,WA,Sammamish,King,Plug-in Hybrid Electric Vehicle (PHEV),BMW,X5,2024
5UX43EU0XR,WA,Camas,Clark,Plug-in Hybrid Electric Vehicle (PHEV),BMW,X5,2024
5UXKT0C30H,WA,Seattle,King,Plug-in Hybrid Electric Vehicle (PHEV),BMW,X5,2017
5UXKT0C31H,WA,Oak Harbor,Island,Plug-in Hybrid Electric Vehicle (PHEV),BMW,X5,2017
5UXKT0C36H,WA,Redmond,King,Plug-in Hybrid Electric Vehicle (PHEV),BMW,X5,2017
5UXKT0C50J,WA,Seattle,King,Plug-in Hybrid Electric Vehicle (PHEV),BMW,X5,2018
5UXKT0C53G,WA,Lacey,Thurston,Plug-in Hybrid Electric Vehicle (PHEV),BMW,X5,2016
5UXKT0C53H,WA,Kirkland,King,Plug-in Hybrid Electric Vehicle (PHEV),BMW,X5,2017
5UXKT0C59G,WA,Sammamish,King,Plug-in Hybrid Electric Vehicle (PHEV),BMW,X5,2016
5UXTA6C01N,WA,Shoreline,King,Plug-in Hybrid Electric Vehicle (PHEV),BMW,X5,2022
5UXTA6C01P,WA,Sammamish,King,Plug-in Hybrid Electric Vehicle (PHEV),BMW,X5,2023
5UXTA6C02N,WA,Vancouver,Clark,Plug-in Hybrid Electric Vehicle (PHEV),BMW,X5,2022
5UXTA6C03P,WA,Camas,Clark,Plug-in Hybrid Electric Vehicle (PHEV),BMW,X5,2023
5UXTA6C04M,WA,Redmond,King,Plug-in Hybrid Electric Vehicle (PHEV),BMW,X5,2021
5UXTA6C04N,WA,Bremerton,Kitsap,Plug-in Hybrid Electric Vehicle (PHEV),BMW,X5,2022
5UXTA6C04P,WA,Kirkland,King,Plug-in Hybrid Electric Vehicle (PHEV),BMW,X5,2023
5UXTA6C05N,WA,Bainbridge Island,Kitsap,Plug-in Hybrid Electric Vehicle (PHEV),BMW,X5,2022
5UXTA6C05P,WA,Yakima,Yakima,Plug-in Hybrid Electric Vehicle (PHEV),BMW,X5,2023
5UXTA6C07M,WA,Redmond,King,Plug-in Hybrid Electric Vehicle (PHEV),BMW,X5,2021
5UXTA6C07P,WA,Normandy Park,King,Plug-in Hybrid Electric Vehicle (PHEV),BMW,X5,2023
5UXTA6C08M,WA,Bothell,King,Plug-in Hybrid Electric Vehicle (PHEV),BMW,X5,2021
5UXTA6C08N,WA,Seattle,King,Plug-in Hybrid Electric Vehicle (PHEV),BMW,X5,2022
5UXTA6C0XN,WA,Olympia,Thurston,Plug-in Hybrid Electric Vehicle (PHEV),BMW,X5,2022
5UXTS1C01L,WA,Seattle,King,Plug-in Hybrid Electric Vehicle (PHEV),BMW,X3,2020
5YJ3E1EA0J,WA,Bothell,Snohomish,Battery Electric Vehicle (BEV),TESLA,MODEL 3,2018
5YJ3E1EA0M,WA,Kirkland,King,Battery Electric Vehicle (BEV),TESLA,MODEL 3,2021
5YJ3E1EA0N,WA,Seattle,King,Battery Electric Vehicle (BEV),TESLA,MODEL 3,2022
5YJ3E1EA0P,WA,Renton,King,Battery Electric Vehicle (BEV),TESLA,MODEL 3,2023
5YJ3E1EA1J,WA,Snohomish,Snohomish,Battery Electric Vehicle (BEV),TESLA,MODEL 3,2018
5YJ3E1EA1K,WA,Edmonds,Snohomish,Battery Electric Vehicle (BEV),TESLA,MODEL 3,2019
5YJ3E1EA1L,WA,Kent,King,Battery Electric Vehicle (BEV),TESLA,MODEL 3,2020
5YJ3E1EA1M,WA,Seattle,King,Battery Electric Vehicle (BEV),TESLA,MODEL 3,2021
5YJ3E1EA1P,WA,Seattle,King,Battery Electric Vehicle (BEV),TESLA,MODEL 3,2023
5YJ3E1EA2K,WA,Sammamish,King,Battery Electric Vehicle (BEV),TESLA,MODEL 3,2019
5YJ3E1EA2L,WA,Seattle,King,Battery Electric Vehicle (BEV),TESLA,MODEL 3,2020
5YJ3E1EA2M,WA,Black Diamond,King,Battery Electric Vehicle (BEV),TESLA,MODEL 3,2021
5YJ3E1EA2P,WA,Bellevue,King,Battery Electric Vehicle (BEV),TESLA,MODEL 3,2023
5YJ3E1EA3J,WA,Bainbridge Island,Kitsap,Battery Electric Vehicle (BEV),TESLA,MODEL 3,2018
5YJ3E1EA3L,WA,Oak Harbor,Island,Battery Electric Vehicle (BEV),TESLA,MODEL 3,2020
5YJ3E1EA3P,WA,Seatac,King,Battery Electric Vehicle (BEV),TESLA,MODEL 3,2023
5YJ3E1EA4J,WA,Bothell,Snohomish,Battery Electric Vehicle (BEV),TESLA,MODEL 3,2018
5YJ3E1EA4K,WA,Seattle,King,Battery Electric Vehicle (BEV),TESLA,MODEL 3,2019
5YJ3E1EA4M,WA,Seattle,King,Battery Electric Vehicle (BEV),TESLA,MODEL 3,2021
5YJ3E1EA4P,WA,Bellevue,King,Battery Electric Vehicle (BEV),TESLA,MODEL 3,2023
5YJ3E1EA5J,WA,Olympia,Thurston,Battery Electric Vehicle (BEV),TESLA,MODEL 3,2018
5YJ3E1EA5K,WA,Seattle,King,Battery Electric Vehicle (BEV),TESLA,MODEL 3,2019
5YJ3E1EA5P,WA,Renton,King,Battery Electric Vehicle (BEV),TESLA,MODEL 3,2023
5YJ3E1EA6J,WA,Coupeville,Island,Battery Electric Vehicle (BEV),TESLA,MODEL 3,2018
5YJ3E1EA6K,WA,Seattle,King,Battery Electric Vehicle (BEV),TESLA,MODEL 3,2019
5YJ3E1EA6L,WA,Vancouver,Clark,Battery Electric Vehicle (BEV),TESLA,MODEL 3,2020
5YJ3E1EA6P,WA,Bothell,Snohomish,Battery Electric Vehicle (BEV),TESLA,MODEL 3,2023
5YJ3E1EA7J,WA,Lynnwood,Snohomish,Battery Electric Vehicle (BEV),TESLA,MODEL 3,2018
5YJ3E1EA7K,WA,Moses Lake,Grant,Battery Electric Vehicle (BEV),TESLA,MODEL 3,2019
5YJ3E1EA7M,WA,Sammamish,King,Battery Electric Vehicle (BEV),TESLA,MODEL 3,2021
5YJ3E1EA7N,WA,Camano Island,Island,Battery Electric Vehicle (BEV),TESLA,MODEL 3,2022
5YJ3E1EA7P,WA,Kent,King,Battery Electric Vehicle (BEV),TESLA,MODEL 3,2023
5YJ3E1EA8J,WA,Sammamish,King,Battery Electric Vehicle (BEV),TESLA,MODEL 3,2018
5YJ3E1EA8K,WA,Issaquah,King,Battery Electric Vehicle (BEV),TESLA,MODEL 3,2019
5YJ3E1EA8L,WA,Mercer Island,King,Battery Electric Vehicle (BEV),TESLA,MODEL 3,2020
5YJ3E1EA8P,WA,Kirkland,King,Battery Electric Vehicle (BEV),TESLA,MODEL 3,2023
5YJ3E1EA9J,WA,Monroe,Snohomish,Battery Electric Vehicle (BEV),TESLA,MODEL 3,2018
5YJ3E1EA9K,WA,Lynnwood,Snohomish,Battery Electric Vehicle (BEV),TESLA,MODEL 3,2019
5YJ3E1EA9L,WA,Silverdale,Kitsap,Battery Electric Vehicle (BEV),TESLA,MODEL 3,2020
5YJ3E1EA9M,WA,Medina,King,Battery Electric Vehicle (BEV),TESLA,MODEL 3,2021
5YJ3E1EA9N,WA,Sammamish,King,Battery Electric Vehicle (BEV),TESLA,MODEL 3,2022
5YJ3E1EA9P,WA,Bainbridge Island,Kitsap,Battery Electric Vehicle (BEV),TESLA,MODEL 3,2023
5YJ3E1EAXJ,WA,Issaquah,King,Battery Electric Vehicle (BEV),TESLA,MODEL 3,2018
5YJ3E1EAXK,WA,Bellevue,King,Battery Electric Vehicle (BEV),TESLA,MODEL 3,2019
5YJ3E1EAXN,WA,Bellevue,King,Battery Electric Vehicle (BEV),TESLA,MODEL 3,2022
5YJ3E1EAXP,WA,Kirkland,King,Battery Electric Vehicle (BEV),TESLA,MODEL 3,2023
5YJ3E1EB0J,WA,Bothell,King,Battery Electric Vehicle (BEV),TESLA,MODEL 3,2018
5YJ3E1EB0K,WA,Seattle,King,Battery Electric Vehicle (BEV),TESLA,MODEL 3,2019
5YJ3E1EB0L,WA,Kirkland,King,Battery Electric Vehicle (BEV),TESLA,MODEL 3,2020
5YJ3E1EB0N,WA,Bothell,Snohomish,Battery Electric Vehicle (BEV),TESLA,MODEL 3,2022
5YJ3E1EB1J,WA,Freeland,Island,Battery Electric Vehicle (BEV),TESLA,MODEL 3,2018
5YJ3E1EB1K,WA,Seattle,King,Battery Electric Vehicle (BEV),TESLA,MODEL 3,2019
5YJ3E1EB1L,WA,Quincy,Grant,Battery Electric Vehicle (BEV),TESLA,MODEL 3,2020
5YJ3E1EB1M,WA,Duvall,King,Battery Electric Vehicle (BEV),TESLA,MODEL 3,2021
5YJ3E1EB1N,WA,Bellevue,King,Battery Electric Vehicle (BEV),TESLA,MODEL 3,2022
5YJ3E1EB1P,WA,Sammamish,King,Battery Electric Vehicle (BEV),TESLA,MODEL 3,2023
5YJ3E1EB2J,WA,Redmond,King,Battery Electric Vehicle (BEV),TESLA,MODEL 3,2018
5YJ3E1EB2K,WA,Bothell,King,Battery Electric Vehicle (BEV),TESLA,MODEL 3,2019
5YJ3E1EB2L,WA,Bainbridge Island,Kitsap,Battery Electric Vehicle (BEV),TESLA,MODEL 3,2020
5YJ3E1EB2N,WA,Shoreline,King,Battery Electric Vehicle (BEV),TESLA,MODEL 3,2022
5YJ3E1EB3J,WA,Redmond,King,Battery Electric Vehicle (BEV),TESLA,MODEL 3,2018
5YJ3E1EB3L,WA,Renton,King,Battery Electric Vehicle (BEV),TESLA,MODEL 3,2020
5YJ3E1EB3M,WA,Federal Way,King,Battery Electric Vehicle (BEV),TESLA,MODEL 3,2021
5YJ3E1EB4J,WA,Seattle,King,Battery Electric Vehicle (BEV),TESLA,MODEL 3,2018
5YJ3E1EB4K,WA,Kirkland,King,Battery Electric Vehicle (BEV),TESLA,MODEL 3,2019
5YJ3E1EB4L,WA,Olympia,Thurston,Battery Electric Vehicle (BEV),TESLA,MODEL 3,2020
5YJ3E1EB4N,WA,Tukwila,King,Battery Electric Vehicle (BEV),TESLA,MODEL 3,2022
5YJ3E1EB5J,WA,Seattle,King,Battery Electric Vehicle (BEV),TESLA,MODEL 3,2018
5YJ3E1EB5K,WA,Suquamish,Kitsap,Battery Electric Vehicle (BEV),TESLA,MODEL 3,2019
5YJ3E1EB5M,WA,Kirkland,King,Battery Electric Vehicle (BEV),TESLA,MODEL 3,2021
5YJ3E1EB5N,WA,Federal Way,King,Battery Electric Vehicle (BEV),TESLA,MODEL 3,2022
5YJ3E1EB6J,WA,Seattle,King,Battery Electric Vehicle (BEV),TESLA,MODEL 3,2018
5YJ3E1EB6K,WA,Everett,Snohomish,Battery Electric Vehicle (BEV),TESLA,MODEL 3,2019
5YJ3E1EB6L,WA,Lynnwood,Snohomish,Battery Electric Vehicle (BEV),TESLA,MODEL 3,2020
5YJ3E1EB6M,WA,Seattle,King,Battery Electric Vehicle (BEV),TESLA,MODEL 3,2021
5YJ3E1EB6N,WA,Camano Island,Island,Battery Electric Vehicle (BEV),TESLA,MODEL 3,2022
5YJ3E1EB7J,WA,Sammamish,King,Battery Electric Vehicle (BEV),TESLA,MODEL 3,2018
5YJ3E1EB7K,WA,Yakima,Yakima,Battery Electric Vehicle (BEV),TESLA,MODEL 3,2019
5YJ3E1EB7L,WA,Olympia,Thurston,Battery Electric Vehicle (BEV),TESLA,MODEL 3,2020
5YJ3E1EB7M,WA,Mercer Island,King,Battery Electric Vehicle (BEV),TESLA,MODEL 3,2021
5YJ3E1EB7N,WA,Vancouver,Clark,Battery Electric Vehicle (BEV),TESLA,MODEL 3,2022
5YJ3E1EB7P,WA,Zillah,Yakima,Battery Electric Vehicle (BEV),TESLA,MODEL 3,2023
5YJ3E1EB8J,WA,Bothell,Snohomish,Battery Electric Vehicle (BEV),TESLA,MODEL 3,2018
5YJ3E1EB8K,WA,Shoreline,King,Battery Electric Vehicle (BEV),TESLA,MODEL 3,2019
5YJ3E1EB8L,WA,Edmonds,Snohomish,Battery Electric Vehicle (BEV),TESLA,MODEL 3,2020
5YJ3E1EB8M,WA,Renton,King,Battery Electric Vehicle (BEV),TESLA,MODEL 3,2021
5YJ3E1EB8P,WA,Vancouver,Clark,Battery Electric Vehicle (BEV),TESLA,MODEL 3,2023
5YJ3E1EB9J,WA,Seattle,King,Battery Electric Vehicle (BEV),TESLA,MODEL 3,2018
5YJ3E1EB9K,WA,Snohomish,Snohomish,Battery Electric Vehicle (BEV),TESLA,MODEL 3,2019
5YJ3E1EB9L,WA,Tenino,Thurston,Battery Electric Vehicle (BEV),TESLA,MODEL 3,2020
5YJ3E1EB9M,WA,Lacey,Thurston,Battery Electric Vehicle (BEV),TESLA,MODEL 3,2021
5YJ3E1EB9P,WA,Seattle,King,Battery Electric Vehicle (BEV),TESLA,MODEL 3,2023
5YJ3E1EBXJ,WA,Sammamish,King,Battery Electric Vehicle (BEV),TESLA,MODEL 3,2018
5YJ3E1EBXL,WA,Bellevue,King,Battery Electric Vehicle (BEV),TESLA,MODEL 3,2020
5YJ3E1EBXM,WA,Seattle,King,Battery Electric Vehicle (BEV),TESLA,MODEL 3,2021
5YJ3E1EBXN,WA,Vancouver,Clark,Battery Electric Vehicle (BEV),TESLA,MODEL 3,2022
5YJ3E1EC2L,WA,Seattle,King,Battery Electric Vehicle (BEV),TESLA,MODEL 3,2020
5YJ3E1EC2P,WA,Seattle,King,Battery Electric Vehicle (BEV),TESLA,MODEL 3,2023
5YJ3E1EC5P,WA,Bothell,Snohomish,Battery Electric Vehicle (BEV),TESLA,MODEL 3,2023
5YJ3E1EC6L,WA,Olympia,Thurston,Battery Electric Vehicle (BEV),TESLA,MODEL 3,2020
5YJ3E1EC6P,WA,Auburn,King,Battery Electric Vehicle (BEV),TESLA,MODEL 3,2023
5YJ3E1EC7L,WA,Seattle,King,Battery Electric Vehicle (BEV),TESLA,MODEL 3,2020
5YJ3E1EC7P,WA,Lake Stevens,Snohomish,Battery Electric Vehicle (BEV),TESLA,MODEL 3,2023
5YJ3E1EC8P,WA,Vancouver,Clark,Battery Electric Vehicle (BEV),TESLA,MODEL 3,2023
5YJ3E1EC9L,WA,Bainbridge Island,Kitsap,Battery Electric Vehicle (BEV),TESLA,MODEL 3,2020
5YJ3E1EC9N,WA,Seabeck,Kitsap,Battery Electric Vehicle (BEV),TESLA,MODEL 3,2022
5YJ3E1ECXP,WA,Duvall,King,Battery Electric Vehicle (BEV),TESLA,MODEL 3,2023
5YJRE1A32A,WA,Kirkland,King,Battery Electric Vehicle (BEV),TESLA,ROADSTER,2010
5YJSA1AC7D,WA,Lake Stevens,Snohomish,Battery Electric Vehicle (BEV),TESLA,MODEL S,2013
5YJSA1CG2D,WA,Kirkland,King,Battery Electric Vehicle (BEV),TESLA,MODEL S,2013
5YJSA1CG6D,WA,Snohomish,Snohomish,Battery Electric Vehicle (BEV),TESLA,MODEL S,2013
5YJSA1DN1D,WA,Enumclaw,King,Battery Electric Vehicle (BEV),TESLA,MODEL S,2013
5YJSA1DP3C,WA,Kirkland,King,Battery Electric Vehicle (BEV),TESLA,MODEL S,2012
5YJSA1E11H,WA,Olalla,Kitsap,Battery Electric Vehicle (BEV),TESLA,MODEL S,2017
5YJSA1E14H,WA,Seattle,King,Battery Electric Vehicle (BEV),TESLA,MODEL S,2017
5YJSA1E18G,WA,Sammamish,King,Battery Electric Vehicle (BEV),TESLA,MODEL S,2016
